dataset,model,n_ahead,ws,n_var,mae,mape,training_time
ws7_fh1_var1,TKAN,1,7,1,1.5241896776423167,4.701425770840018,57.346084117889404
ws7_fh1_var3,TKAN,1,7,3,2.080193432383594,7.053718479168938,44.6040997505188
ws7_fh3_var1,TKAN,3,7,1,2.4314696924306713,7.474666575338546,39.38408064842224
ws7_fh3_var3,TKAN,3,7,3,3.2765255056750013,10.323141206580285,41.07747149467468
ws7_fh7_var1,TKAN,7,7,1,3.797443614897123,11.995684647745035,36.8571252822876
ws7_fh7_var3,TKAN,7,7,3,4.017917962838122,12.269080459481026,26.33528447151184
ws15_fh1_var1,TKAN,1,15,1,1.8341638365017336,5.704429207183789,69.72649765014648
ws15_fh1_var3,TKAN,1,15,3,2.4678860974417662,7.955093683344115,67.19901299476624
ws15_fh3_var1,TKAN,3,15,1,2.5703498667321854,7.700821668427019,70.86260485649109
ws15_fh3_var3,TKAN,3,15,3,2.9953634550959776,9.500713834919978,62.15553617477417
ws15_fh7_var1,TKAN,7,15,1,3.7297025899545195,11.546080675716869,53.900166749954224
ws15_fh7_var3,TKAN,7,15,3,3.947110011989959,11.945409741660798,49.5576286315918
ws30_fh1_var1,TKAN,1,30,1,3.2169995393890303,11.017545499918441,130.63303470611572
ws30_fh1_var3,TKAN,1,30,3,2.138643097618985,6.86914209773666,129.88913226127625
ws30_fh3_var1,TKAN,3,30,1,2.7272464560783436,8.294262730820307,132.30758476257324
ws30_fh3_var3,TKAN,3,30,3,2.985071994428143,9.010672775106968,128.56566214561462
ws30_fh7_var1,TKAN,7,30,1,3.739941335931466,11.365311261350202,129.32297921180725
ws30_fh7_var3,TKAN,7,30,3,3.954246065984774,12.035449949411163,77.71851086616516
