dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws15_fh7_var3,TKAN,7,15,3,4.121718110328199,12.62032003872126,51.1728093624115,4
ws30_fh1_var1,TKAN,1,30,1,2.7806484108609477,8.843313640917948,82.47788500785828,4
ws30_fh1_var3,TKAN,1,30,3,2.4390099271554218,7.858856107219463,83.13480234146118,4
ws30_fh3_var1,TKAN,3,30,1,2.4670359694251025,7.477804559887437,100.49912881851196,4
ws30_fh3_var3,TKAN,3,30,3,2.7915838373458683,8.350947123534334,84.39727425575256,4
ws30_fh7_var1,TKAN,7,30,1,3.656232920915412,11.259808632179489,84.3195264339447,4
ws30_fh7_var3,TKAN,7,30,3,4.257700104156489,12.863502196957272,83.77991724014282,4
ws7_fh1_var1,TKAN,1,7,1,1.6639511050465507,5.348786226250896,32.75528931617737,5
ws7_fh1_var3,TKAN,1,7,3,2.099415194729995,7.068116505895075,32.67211174964905,5
ws7_fh3_var1,TKAN,3,7,1,2.2464943115354608,6.961961009635285,32.65766668319702,5
ws7_fh3_var3,TKAN,3,7,3,2.7260700095392547,8.745000112092258,32.75009536743164,5
ws7_fh7_var1,TKAN,7,7,1,3.696432189541576,11.641688347618892,32.60692834854126,5
ws7_fh7_var3,TKAN,7,7,3,3.9825230896357913,11.867553756097443,32.66167140007019,5
ws15_fh1_var1,TKAN,1,15,1,1.6394240920752754,4.975931991761111,50.81711387634277,5
ws15_fh1_var3,TKAN,1,15,3,2.634513567687286,9.145965472574332,50.21961855888367,5
ws15_fh3_var1,TKAN,3,15,1,2.300074249447403,7.084659832487993,50.186439037323,5
ws15_fh3_var3,TKAN,3,15,3,2.5474337631351385,7.843660800621905,49.91928291320801,5
ws15_fh7_var1,TKAN,7,15,1,3.826795823407356,12.238769207892297,50.456610441207886,5
ws15_fh7_var3,TKAN,7,15,3,3.973435793396969,12.066318637863032,50.35467052459717,5
ws30_fh1_var1,TKAN,1,30,1,1.6581543963632217,5.113831632773831,103.6731572151184,5
ws30_fh1_var3,TKAN,1,30,3,4.002222600424425,13.381571836674963,85.12752962112427,5
ws30_fh3_var1,TKAN,3,30,1,2.3102977950622337,7.200917985174544,84.35243582725525,5
ws30_fh3_var3,TKAN,3,30,3,2.6680570266725034,8.209463881429244,84.1852810382843,5
ws30_fh7_var1,TKAN,7,30,1,3.818148267054825,11.93391013847465,84.60237669944763,5
ws30_fh7_var3,TKAN,7,30,3,4.033333524246849,12.086016238529144,84.0257396697998,5
ws7_fh1_var1,TKAN,1,7,1,1.8569807360449493,5.750015727482884,32.9646430015564,6
ws7_fh1_var3,TKAN,1,7,3,1.9543170430781824,5.982213913729827,32.72348952293396,6
ws7_fh3_var1,TKAN,3,7,1,2.346439561513854,7.277985176714847,32.94434094429016,6
ws7_fh3_var3,TKAN,3,7,3,2.537771909070329,7.956567137370881,33.08205246925354,6
ws7_fh7_var1,TKAN,7,7,1,3.799442452223349,11.9473921619982,32.71760010719299,6
ws7_fh7_var3,TKAN,7,7,3,4.273315321060925,13.426473956642935,32.86119604110718,6
ws15_fh1_var1,TKAN,1,15,1,1.4500146162113328,4.418640370356765,50.5239622592926,6
ws15_fh1_var3,TKAN,1,15,3,2.0601447095492267,6.5057336289611385,50.159794092178345,6
ws15_fh3_var1,TKAN,3,15,1,2.361415353255519,7.453763963772053,50.75923991203308,6
ws15_fh3_var3,TKAN,3,15,3,2.6119545012778,8.054913962774185,50.310972452163696,6
ws15_fh7_var1,TKAN,7,15,1,3.632730735023072,11.319678620407062,50.005770206451416,6
ws15_fh7_var3,TKAN,7,15,3,3.759736240245272,11.424414744939291,51.67576909065247,6
ws30_fh1_var1,TKAN,1,30,1,1.5642722208190378,4.910006700542378,84.6030945777893,6
ws30_fh1_var3,TKAN,1,30,3,1.8585719090410595,5.605975763731073,84.20472645759583,6
ws30_fh3_var1,TKAN,3,30,1,2.311540472774134,7.246783995012934,84.01133036613464,6
ws30_fh3_var3,TKAN,3,30,3,2.8180158913196625,8.532963418132608,83.66082191467285,6
ws30_fh7_var1,TKAN,7,30,1,3.6311693294918417,11.19678084116678,84.2016921043396,6
ws30_fh7_var3,TKAN,7,30,3,4.018737536537262,12.577006010085164,83.72541451454163,6
ws7_fh1_var1,TKAN,1,7,1,1.5043347804163003,4.581756730482579,32.85891962051392,7
ws7_fh1_var3,TKAN,1,7,3,2.4031396608158286,7.981058836416767,32.55442953109741,7
ws7_fh3_var1,TKAN,3,7,1,2.4790204291067512,7.861340127603543,32.6913685798645,7
ws7_fh3_var3,TKAN,3,7,3,2.71437264690763,8.453022635264343,32.63864827156067,7
ws7_fh7_var1,TKAN,7,7,1,3.63141854489283,11.266212869799148,32.61195611953735,7
ws7_fh7_var3,TKAN,7,7,3,3.944538146917504,12.07190723015136,32.58059644699097,7
ws15_fh1_var1,TKAN,1,15,1,1.4296933939773422,4.312585085412789,50.16889309883118,7
ws15_fh1_var3,TKAN,1,15,3,2.1206182847445647,7.209922171150396,50.040780544281006,7
ws15_fh3_var1,TKAN,3,15,1,2.3607659938116563,7.337863138544136,49.90962481498718,7
ws15_fh3_var3,TKAN,3,15,3,2.566831406753522,8.187468935051744,50.16903567314148,7
ws15_fh7_var1,TKAN,7,15,1,3.673172831670589,11.541029473712024,49.87655115127564,7
ws15_fh7_var3,TKAN,7,15,3,3.923419296052141,11.546895395358105,74.45589470863342,7
ws30_fh1_var1,TKAN,1,30,1,1.5217429496225232,4.650999393743369,85.49737787246704,7
ws30_fh1_var3,TKAN,1,30,3,1.936586229343752,6.173913589876849,85.25667762756348,7
ws30_fh3_var1,TKAN,3,30,1,2.6897738655837578,8.646163768835368,85.06686687469482,7
ws30_fh3_var3,TKAN,3,30,3,2.819086396634653,8.631728358521306,86.07949137687683,7
ws30_fh7_var1,TKAN,7,30,1,3.592163464722656,10.937500540848578,84.38918614387512,7
ws30_fh7_var3,TKAN,7,30,3,4.115490433992234,12.429035643437205,83.75511002540588,7
ws7_fh1_var1,TKAN,1,7,1,1.4405390371369216,4.441797240148657,32.82355260848999,8
ws7_fh1_var3,TKAN,1,7,3,2.308176368565421,7.3868433037204,33.27108359336853,8
ws7_fh3_var1,TKAN,3,7,1,2.7366636915807394,8.950009348170274,32.84545850753784,8
ws7_fh3_var3,TKAN,3,7,3,2.753367476644322,8.4575660708594,32.6332311630249,8
ws7_fh7_var1,TKAN,7,7,1,3.6108039991750274,11.140857779721737,32.62019896507263,8
ws7_fh7_var3,TKAN,7,7,3,4.010770052226498,12.017956965960684,32.487931966781616,8
ws15_fh1_var1,TKAN,1,15,1,1.8000293647987928,5.791428497547616,50.047398805618286,8
ws15_fh1_var3,TKAN,1,15,3,1.9691047909623831,6.3433483049838255,51.23225736618042,8
ws15_fh3_var1,TKAN,3,15,1,2.388979614741064,7.668641077407583,50.19812631607056,8
ws15_fh3_var3,TKAN,3,15,3,2.6288406606713086,8.1991302827008,50.79021596908569,8
ws15_fh7_var1,TKAN,7,15,1,3.820757721808438,12.2156249806923,51.32202672958374,8
ws15_fh7_var3,TKAN,7,15,3,4.150575570970854,12.533820435671384,50.6055223941803,8
ws30_fh1_var1,TKAN,1,30,1,2.349292717184966,6.909183590749519,110.04740643501282,8
ws30_fh1_var3,TKAN,1,30,3,1.8040410627670715,5.793965652196813,85.79297161102295,8
ws30_fh3_var1,TKAN,3,30,1,2.36851125814117,7.346140409791432,85.27048683166504,8
ws30_fh3_var3,TKAN,3,30,3,2.760716430058385,8.658183217838774,84.9194643497467,8
ws30_fh7_var1,TKAN,7,30,1,3.86986367893448,12.34877438978906,84.64167094230652,8
ws30_fh7_var3,TKAN,7,30,3,3.828940892476561,11.719503517968835,84.40844345092773,8
ws7_fh1_var1,TKAN,1,7,1,1.3301853250943452,4.033434838663127,33.07196521759033,9
ws7_fh1_var3,TKAN,1,7,3,2.280374097794265,7.190739165144041,33.261239767074585,9
ws7_fh3_var1,TKAN,3,7,1,2.220269281046844,6.932382318365541,32.84947681427002,9
ws7_fh3_var3,TKAN,3,7,3,2.581674010294416,8.136240188541857,32.72151851654053,9
ws7_fh7_var1,TKAN,7,7,1,3.54039959776858,10.830982483403885,32.94054675102234,9
ws7_fh7_var3,TKAN,7,7,3,4.220743088495031,12.574694854113252,32.761518716812134,9
ws15_fh1_var1,TKAN,1,15,1,1.6887870218736365,5.237565081377543,50.435288429260254,9
