dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.7228347595633955,5.304984724643715,48.80092000961304
ws15_fh1_var3,TKAN,15,1,3,2.1552241405488255,6.8055585940172705,48.746188282966614
ws15_fh3_var1,TKAN,15,3,1,2.4193610574639735,7.607023702465568,48.684284162521365
ws15_fh3_var3,TKAN,15,3,3,2.6803609996042574,8.257066180418002,48.5157933473587
ws15_fh7_var1,TKAN,15,7,1,3.698496184514559,11.522158451212174,52.2083473443985
ws15_fh7_var3,TKAN,15,7,3,3.972009640018565,12.08259459562208,51.81049258708954
ws30_fh1_var1,TKAN,30,1,1,2.053131362289873,6.316700591121142,81.27184402942657
ws30_fh1_var3,TKAN,30,1,3,2.252026830046492,7.183100967499567,81.37549986839295
ws30_fh3_var1,TKAN,30,3,1,2.5448948265037887,7.908230658172473,81.08258833885193
ws30_fh3_var3,TKAN,30,3,3,2.731340287609762,8.394885563528126,81.25504748821258
ws30_fh7_var1,TKAN,30,7,1,3.739993451717101,11.631520864868099,80.91964418888092
ws30_fh7_var3,TKAN,30,7,3,4.045057370229494,12.253559329092438,85.40587165355683
ws7_fh1_var1,TKAN,7,1,1,1.6341606706594185,5.130194329412914,34.756076860427854
ws7_fh1_var3,TKAN,7,1,3,2.0304480160309963,6.397245752914374,34.42768757343292
ws7_fh3_var1,TKAN,7,3,1,2.30459839678391,7.149400846253615,31.81436607837677
ws7_fh3_var3,TKAN,7,3,3,2.692306771840209,8.34069772795959,31.749907660484315
ws7_fh7_var1,TKAN,7,7,1,3.6695626093172975,11.464077417742526,31.628327536582947
ws7_fh7_var3,TKAN,7,7,3,3.911572936573383,11.898822864160678,34.24212861061096
