dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws15_fh7_var3,TKAN,7,15,3,3.954687858561852,12.121039657588845,47.35588073730469,3
ws30_fh1_var1,TKAN,1,30,1,2.9575041290009767,8.781726849720904,78.36071157455444,3
ws30_fh1_var3,TKAN,1,30,3,2.0145953884770536,6.307076508019009,78.7597029209137,3
ws30_fh3_var1,TKAN,3,30,1,2.362670647497766,7.489836289267364,86.71749949455261,3
ws30_fh3_var3,TKAN,3,30,3,2.6783375792675796,8.40700079520269,78.99892902374268,3
ws30_fh7_var1,TKAN,7,30,1,4.01418104027459,12.906704710747876,78.51375794410706,3
ws30_fh7_var3,TKAN,7,30,3,4.036308209862796,12.34762813229148,78.42550230026245,3
ws7_fh1_var1,TKAN,1,7,1,1.6754392253541979,4.981054595973249,30.730005025863647,4
ws7_fh1_var3,TKAN,1,7,3,1.8116881209678448,5.9746775680152515,30.795826196670532,4
ws7_fh3_var1,TKAN,3,7,1,2.2831412520048913,7.063304051992751,30.65546154975891,4
ws7_fh3_var3,TKAN,3,7,3,2.792656499463619,8.662679602239313,38.79545068740845,4
ws7_fh7_var1,TKAN,7,7,1,3.633133265401747,11.185086620891589,30.92548680305481,4
ws7_fh7_var3,TKAN,7,7,3,3.7957808796650694,11.569638373196458,30.45775032043457,4
ws15_fh1_var1,TKAN,1,15,1,1.4084081461022064,4.273296211068343,47.11601233482361,4
ws15_fh1_var3,TKAN,1,15,3,2.215683399758224,6.9038853202342345,47.11610770225525,4
ws15_fh3_var1,TKAN,3,15,1,2.7940546730845197,9.113916042887933,46.94303345680237,4
ws15_fh3_var3,TKAN,3,15,3,2.588981765103161,8.085494797181516,47.36147212982178,4
ws15_fh7_var1,TKAN,7,15,1,3.6804605284410528,11.17949614639544,55.5849027633667,4
ws15_fh7_var3,TKAN,7,15,3,3.8408720005054042,11.878181593164676,47.37609815597534,4
ws30_fh1_var1,TKAN,1,30,1,1.5466234564108872,4.820684576615805,78.04527163505554,4
ws30_fh1_var3,TKAN,1,30,3,2.010964668426841,6.334574681531653,78.12321162223816,4
ws30_fh3_var1,TKAN,3,30,1,2.2806728972069656,6.967135963322865,78.02506113052368,4
ws30_fh3_var3,TKAN,3,30,3,2.662830473464347,8.418867726739663,77.79309129714966,4
ws30_fh7_var1,TKAN,7,30,1,3.6484961253174895,11.181373948574867,77.91228771209717,4
ws30_fh7_var3,TKAN,7,30,3,4.056638723045147,12.362107156829842,77.8932740688324,4
ws7_fh1_var1,TKAN,1,7,1,2.034254890704453,6.507831476571332,30.20554494857788,5
ws7_fh1_var3,TKAN,1,7,3,1.9450247774853657,6.358475396787376,40.14776039123535,5
