dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws15_fh7_var3,LSTM,7,15,3,4.518450936320349,13.798746777127436,10.80023741722107,3
ws30_fh1_var1,LSTM,1,30,1,3.458908358557561,10.629397013367118,11.239264249801636,3
ws30_fh1_var3,LSTM,1,30,3,3.2383769253368535,10.97051119368653,10.550424575805664,3
ws30_fh3_var1,LSTM,3,30,1,3.660163839309873,11.227258987136416,11.736635446548462,3
ws30_fh3_var3,LSTM,3,30,3,3.038662739876533,9.460029860213254,11.755384922027588,3
ws30_fh7_var1,LSTM,7,30,1,4.692188989077266,14.145574714735634,11.035589456558228,3
ws30_fh7_var3,LSTM,7,30,3,4.525607234496108,13.305996120594244,11.679489374160767,3
ws7_fh1_var1,LSTM,1,7,1,3.375059688527598,10.586528943213182,8.94553804397583,4
ws7_fh1_var3,LSTM,1,7,3,3.4932475774299068,11.73969165278968,8.390411138534546,4
ws7_fh3_var1,LSTM,3,7,1,3.536356364459814,10.850657462911569,9.422346115112305,4
ws7_fh3_var3,LSTM,3,7,3,3.2440235920470655,10.200557157595714,9.696043968200684,4
ws7_fh7_var1,LSTM,7,7,1,4.47961897731498,13.646621592972885,9.586715459823608,4
ws7_fh7_var3,LSTM,7,7,3,4.346704097871628,13.288144546550296,8.964582443237305,4
ws15_fh1_var1,LSTM,1,15,1,4.241604355898454,13.204168056380608,8.210765600204468,4
ws15_fh1_var3,LSTM,1,15,3,4.222746637241226,13.969949495604569,9.615278720855713,4
ws15_fh3_var1,LSTM,3,15,1,3.8217172832009423,11.680052211880637,9.595541715621948,4
ws15_fh3_var3,LSTM,3,15,3,3.3385389681606052,10.303582519669998,10.058600664138794,4
ws15_fh7_var1,LSTM,7,15,1,4.760167650960492,14.46890366694441,10.52997374534607,4
ws15_fh7_var3,LSTM,7,15,3,4.580435330444187,13.570675077237503,12.437810897827148,4
ws30_fh1_var1,LSTM,1,30,1,3.3211302335805093,10.349558703589338,11.502487421035767,4
ws30_fh1_var3,LSTM,1,30,3,3.9515009797412697,13.589110272752865,11.53783392906189,4
ws30_fh3_var1,LSTM,3,30,1,3.580856535391629,11.017517493909299,11.445386409759521,4
ws30_fh3_var3,LSTM,3,30,3,3.4261388079333224,10.802786799823112,10.84776496887207,4
ws30_fh7_var1,LSTM,7,30,1,4.692134365526865,14.148486810566268,10.799269199371338,4
ws30_fh7_var3,LSTM,7,30,3,4.511493647423634,13.442633574891838,10.91340708732605,4
ws7_fh1_var1,LSTM,1,7,1,3.4746983524629114,10.787986136324088,9.431746482849121,5
ws7_fh1_var3,LSTM,1,7,3,2.7023923772001037,8.90219549657444,8.844249725341797,5
ws7_fh3_var1,LSTM,3,7,1,3.6173782632662776,11.075099713100457,9.201783657073975,5
ws7_fh3_var3,LSTM,3,7,3,3.2825074724372048,10.233485415698686,9.492498397827148,5
ws7_fh7_var1,LSTM,7,7,1,4.497474743906069,13.694614225551277,9.544267416000366,5
ws7_fh7_var3,LSTM,7,7,3,4.369054790667364,13.272787946014114,9.118118524551392,5
ws15_fh1_var1,LSTM,1,15,1,3.628651443958829,11.476646283453913,8.567544937133789,5
ws15_fh1_var3,LSTM,1,15,3,3.2232465627966485,10.424353342984391,10.138734817504883,5
ws15_fh3_var1,LSTM,3,15,1,3.7082156096366843,11.364328452681562,10.84746766090393,5
ws15_fh3_var3,LSTM,3,15,3,3.6386573707283514,11.469516168231356,9.932861089706421,5
ws15_fh7_var1,LSTM,7,15,1,4.808705417425391,14.416937399151678,10.708302736282349,5
ws15_fh7_var3,LSTM,7,15,3,4.441120735176153,13.415325989731269,10.066628694534302,5
ws30_fh1_var1,LSTM,1,30,1,3.3480091387453395,10.297721520307196,12.342271327972412,5
ws30_fh1_var3,LSTM,1,30,3,3.100337227509726,10.438991838678865,10.427698612213135,5
ws30_fh3_var1,LSTM,3,30,1,3.7752663101254704,11.574745518078656,11.219398736953735,5
ws30_fh3_var3,LSTM,3,30,3,3.063749756639728,9.549494916473071,13.305371522903442,5
ws30_fh7_var1,LSTM,7,30,1,4.802012752542178,14.656792233038008,11.611221075057983,5
ws30_fh7_var3,LSTM,7,30,3,4.403064655701944,13.333556877103355,11.316230297088623,5
ws7_fh1_var1,LSTM,1,7,1,3.8140976434208302,12.05907436149239,9.771231889724731,6
ws7_fh1_var3,LSTM,1,7,3,3.8269859347232726,13.363378589195305,10.185923337936401,6
ws7_fh3_var1,LSTM,3,7,1,3.6351914915181798,11.13993273995365,8.772454261779785,6
ws7_fh3_var3,LSTM,3,7,3,3.3776934654784667,10.574545968061438,9.415074348449707,6
ws7_fh7_var1,LSTM,7,7,1,4.557143745633324,13.884590778672623,9.813441276550293,6
ws7_fh7_var3,LSTM,7,7,3,4.359926893497288,13.171606966289323,9.870944023132324,6
ws15_fh1_var1,LSTM,1,15,1,2.825221104423129,8.710050285765826,9.746636152267456,6
ws15_fh1_var3,LSTM,1,15,3,3.2929527331382444,10.748373562677696,9.687880039215088,6
ws15_fh3_var1,LSTM,3,15,1,3.8918893800928664,11.903096832474414,8.815726041793823,6
ws15_fh3_var3,LSTM,3,15,3,3.506729440371673,11.174193258961044,9.996194839477539,6
ws15_fh7_var1,LSTM,7,15,1,4.73798687788723,14.385198213801223,9.999744653701782,6
ws15_fh7_var3,LSTM,7,15,3,4.524836278928436,13.522021499951261,10.88921570777893,6
ws30_fh1_var1,LSTM,1,30,1,3.4823365534319994,10.834551821383627,10.629764318466187,6
ws30_fh1_var3,LSTM,1,30,3,5.002985357709956,17.102097682101533,11.386667013168335,6
ws30_fh3_var1,LSTM,3,30,1,3.2606793994337964,10.005504074219738,11.201992273330688,6
ws30_fh3_var3,LSTM,3,30,3,3.4886368212659375,10.913244740642032,10.593327760696411,6
ws30_fh7_var1,LSTM,7,30,1,4.710690940694269,14.461469488989179,10.312522172927856,6
ws30_fh7_var3,LSTM,7,30,3,4.489589299241323,13.374401229154733,10.900989770889282,6
ws7_fh1_var1,LSTM,1,7,1,3.2576996718231266,10.09903785353755,9.326163291931152,7
ws7_fh1_var3,LSTM,1,7,3,3.7837416569862885,12.55447002659634,8.28948426246643,7
ws7_fh3_var1,LSTM,3,7,1,3.437266367648601,10.543172829718849,9.646213054656982,7
