run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh30_var1,GRU,30,7,1,6.100424454091915,1853.729510209626,8.530473709106445
1,ws7_fh30_var3,GRU,30,7,3,5.874879677456195,1740.6536037032624,10.5689377784729
1,ws15_fh30_var1,GRU,30,15,1,6.076551378529279,1847.1552369454876,10.875355243682861
1,ws15_fh30_var3,GRU,30,15,3,5.8809207398117005,1756.216804647245,10.949947118759155
1,ws30_fh30_var1,GRU,30,30,1,6.220226893044173,1899.4878850737348,10.91358208656311
1,ws30_fh30_var3,GRU,30,30,3,6.201474722987446,1815.1084036984532,11.86518669128418
2,ws7_fh30_var1,GRU,30,7,1,6.1035438536221225,1854.1565015160004,10.319186925888062
2,ws7_fh30_var3,GRU,30,7,3,5.875661531907347,1744.353812637482,8.637615203857422
2,ws15_fh30_var1,GRU,30,15,1,6.090855398659541,1852.7700486848667,8.74960970878601
2,ws15_fh30_var3,GRU,30,15,3,5.910911744365826,1776.4627702652795,8.613698482513428
2,ws30_fh30_var1,GRU,30,30,1,6.211734521182577,1898.6726260990838,8.763145685195923
2,ws30_fh30_var3,GRU,30,30,3,5.940166741736489,1768.3485683301615,9.7940194606781
3,ws7_fh30_var1,GRU,30,7,1,6.096518184115063,1852.6120786331621,9.328291654586792
3,ws7_fh30_var3,GRU,30,7,3,5.874149797972938,1758.3242363625773,8.968501329421997
3,ws15_fh30_var1,GRU,30,15,1,6.052132449192108,1835.5324412392158,10.741222381591797
3,ws15_fh30_var3,GRU,30,15,3,5.920784684125234,1742.107816294923,9.297545671463013
3,ws30_fh30_var1,GRU,30,30,1,6.214678442873404,1898.7398953315044,9.226404666900635
3,ws30_fh30_var3,GRU,30,30,3,5.979409884038598,1791.5096176442728,9.277750968933105
4,ws7_fh30_var1,GRU,30,7,1,6.0993637767003035,1855.2656090380272,8.280522108078003
4,ws7_fh30_var3,GRU,30,7,3,5.900890219084764,1747.7820430941404,8.431900978088379
4,ws15_fh30_var1,GRU,30,15,1,6.088020225631663,1847.7292447349307,8.459481239318848
4,ws15_fh30_var3,GRU,30,15,3,5.857261222441619,1747.1415842484482,8.24524211883545
4,ws30_fh30_var1,GRU,30,30,1,6.192619182330267,1890.3099513116913,8.38861894607544
4,ws30_fh30_var3,GRU,30,30,3,5.975395421085849,1772.3691804367402,8.391208171844482
5,ws7_fh30_var1,GRU,30,7,1,6.102505437825,1856.8301894457627,8.007561445236206
5,ws7_fh30_var3,GRU,30,7,3,5.9368696274566854,1753.0439284979127,8.102596521377563
5,ws15_fh30_var1,GRU,30,15,1,6.089534434349605,1852.6823713379902,8.15579628944397
5,ws15_fh30_var3,GRU,30,15,3,5.844034742637317,1728.7093832661192,8.100734233856201
5,ws30_fh30_var1,GRU,30,30,1,6.190308157064849,1890.992008018814,8.273980140686035
5,ws30_fh30_var3,GRU,30,30,3,6.116986269021138,1793.2144062510386,8.280784368515015
6,ws7_fh30_var1,GRU,30,7,1,6.104377938279054,1853.0135542434707,7.905289649963379
6,ws7_fh30_var3,GRU,30,7,3,5.879432690046635,1735.267224040552,8.318597555160522
6,ws15_fh30_var1,GRU,30,15,1,6.106863778388516,1858.1693827085267,8.783727645874023
6,ws15_fh30_var3,GRU,30,15,3,5.932903785855986,1783.4560949711142,8.281341075897217
6,ws30_fh30_var1,GRU,30,30,1,6.2152797483323505,1898.9209192219625,8.399311065673828
6,ws30_fh30_var3,GRU,30,30,3,6.056956896715748,1794.199183814472,8.626285791397095
7,ws7_fh30_var1,GRU,30,7,1,6.094309879282598,1851.9394670473723,7.862138509750366
7,ws7_fh30_var3,GRU,30,7,3,5.924852981204803,1740.4137372572145,7.888643026351929
7,ws15_fh30_var1,GRU,30,15,1,6.1065703560817655,1854.139336082909,8.169905424118042
7,ws15_fh30_var3,GRU,30,15,3,5.887892176332717,1741.275972839917,8.087693452835083
7,ws30_fh30_var1,GRU,30,30,1,6.20079085308932,1894.3151842664197,8.268744707107544
7,ws30_fh30_var3,GRU,30,30,3,6.046567411085023,1780.9259066553282,8.332295417785645
8,ws7_fh30_var1,GRU,30,7,1,6.097802286544846,1852.2267156947148,7.747700452804565
8,ws7_fh30_var3,GRU,30,7,3,5.874755992939627,1742.9774617543628,7.78537654876709
8,ws15_fh30_var1,GRU,30,15,1,6.082018976481198,1849.6846766673382,7.986950635910034
8,ws15_fh30_var3,GRU,30,15,3,5.8748384339475885,1728.6742741271248,7.7435503005981445
8,ws30_fh30_var1,GRU,30,30,1,6.207859808886404,1896.8405960155085,8.133170127868652
8,ws30_fh30_var3,GRU,30,30,3,6.302990937944737,1895.6351496350514,7.98568868637085
9,ws7_fh30_var1,GRU,30,7,1,6.110782491906158,1859.4778283373748,7.4957616329193115
9,ws7_fh30_var3,GRU,30,7,3,5.87377281832029,1737.6438193041747,7.50678563117981
9,ws15_fh30_var1,GRU,30,15,1,6.106395969351054,1858.3071310883226,7.730317831039429
9,ws15_fh30_var3,GRU,30,15,3,5.8764372552341975,1735.556092602662,7.704988479614258
9,ws30_fh30_var1,GRU,30,30,1,6.198155207364519,1893.3221794786639,7.956944465637207
9,ws30_fh30_var3,GRU,30,30,3,5.970768489785663,1795.218238367042,8.009105205535889
10,ws7_fh30_var1,GRU,30,7,1,6.109772749288849,1857.9447011987231,7.547452211380005
10,ws7_fh30_var3,GRU,30,7,3,5.919043667719689,1752.5490197830009,7.526238441467285
10,ws15_fh30_var1,GRU,30,15,1,6.097819956670553,1853.2075671711073,7.82276463508606
10,ws15_fh30_var3,GRU,30,15,3,5.881067092045313,1769.0716549502151,7.796118497848511
