dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.8483329593779163,5.660460473573096,50.85781373977661
ws15_fh1_var3,TKAN,15,1,3,1.896373717772709,5.889166683188739,51.24812412261963
ws15_fh3_var1,TKAN,15,3,1,2.349147710028901,7.38188994065826,50.02737488746643
ws15_fh3_var3,TKAN,15,3,3,2.7261498441946492,8.43161594304797,49.20320601463318
ws15_fh7_var1,TKAN,15,7,1,3.708506197601518,11.510167273227793,49.54918670654297
ws15_fh7_var3,TKAN,15,7,3,4.001710162281088,12.248623584300336,51.8857223033905
ws30_fh1_var1,TKAN,30,1,1,3.1101201262367284,9.912623181139063,81.88292388916015
ws30_fh1_var3,TKAN,30,1,3,2.4372557929677585,7.823766349492553,81.74670090675355
ws30_fh3_var1,TKAN,30,3,1,2.423573127684589,7.62777351983689,81.7832272529602
ws30_fh3_var3,TKAN,30,3,3,2.77166415884295,8.5171702830962,84.52881860733032
ws30_fh7_var1,TKAN,30,7,1,3.692588760221529,11.374632486398419,83.07209448814392
ws30_fh7_var3,TKAN,30,7,3,3.976778417078138,12.151454883959383,81.20522933006286
ws7_fh1_var1,TKAN,7,1,1,1.6405521783659611,5.192358668401576,33.03558211326599
ws7_fh1_var3,TKAN,7,1,3,2.012182364076214,6.169132218128901,34.22201547622681
ws7_fh3_var1,TKAN,7,3,1,2.3563046393231386,7.371797867382026,32.57863883972168
ws7_fh3_var3,TKAN,7,3,3,2.7408176342620156,8.497532019185444,32.50088200569153
ws7_fh7_var1,TKAN,7,7,1,3.761022172403225,11.825430572671415,33.92346315383911
ws7_fh7_var3,TKAN,7,7,3,4.003947978578704,12.15426920838399,32.64877018928528
