run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh1_var1,TCN,1,7,1,2.4689195918896116,7.460469647794471,15.851032972335815
1,ws7_fh1_var3,TCN,1,7,3,16.131680652259035,56.69068897121918,12.694045305252075
1,ws7_fh3_var1,TCN,3,7,1,3.680701084623933,12.267782274683665,17.673577547073364
1,ws7_fh3_var3,TCN,3,7,3,5.8338296721273695,19.055361566225393,16.877151012420654
1,ws7_fh7_var1,TCN,7,7,1,4.934460442260231,16.369414151524584,17.567166566848755
1,ws7_fh7_var3,TCN,7,7,3,6.584814905731041,22.151424127471646,17.220738172531128
1,ws15_fh1_var1,TCN,1,15,1,1.72255398397219,5.117120032084599,13.783850908279419
1,ws15_fh1_var3,TCN,1,15,3,6.571495375315012,21.38057390743355,13.317485809326172
1,ws15_fh3_var1,TCN,3,15,1,3.627584884910544,11.739595268997068,17.147262573242188
1,ws15_fh3_var3,TCN,3,15,3,6.632754140967158,22.969158331327858,16.546746492385864
1,ws15_fh7_var1,TCN,7,15,1,4.910115516156692,16.313623967174436,17.153695106506348
1,ws15_fh7_var3,TCN,7,15,3,5.745154259914911,18.9721049971795,16.815399646759033
1,ws30_fh1_var1,TCN,1,30,1,3.695218059771004,12.419205313477185,12.517908811569214
1,ws30_fh1_var3,TCN,1,30,3,6.816975192227339,23.860885496963917,12.1300368309021
1,ws30_fh3_var1,TCN,3,30,1,4.9652999975754275,17.16787795630038,17.198020935058594
1,ws30_fh3_var3,TCN,3,30,3,5.975414180324314,20.73649304546645,16.71152687072754
1,ws30_fh7_var1,TCN,7,30,1,5.20570691798352,17.40551194698359,16.870277404785156
1,ws30_fh7_var3,TCN,7,30,3,6.192618982921714,20.946684562741638,16.208889961242676
2,ws7_fh1_var1,TCN,1,7,1,4.453155970167383,15.507904641792317,11.853776931762695
2,ws7_fh1_var3,TCN,1,7,3,4.462080316821724,15.47937417969973,11.949284791946411
2,ws7_fh3_var1,TCN,3,7,1,2.956771804688,9.132311522528628,15.638831377029419
2,ws7_fh3_var3,TCN,3,7,3,6.130984995355488,19.94838095377051,15.594223737716675
2,ws7_fh7_var1,TCN,7,7,1,5.2061901720665,17.36189563234964,16.145569562911987
2,ws7_fh7_var3,TCN,7,7,3,10.241895421315652,35.87623484059851,16.07444667816162
2,ws15_fh1_var1,TCN,1,15,1,4.7714887423930366,16.51604751199666,12.084309101104736
2,ws15_fh1_var3,TCN,1,15,3,4.796181010266315,15.947566645988676,12.087831735610962
2,ws15_fh3_var1,TCN,3,15,1,4.931426394350331,17.073689168818397,14.937490940093994
2,ws15_fh3_var3,TCN,3,15,3,4.209925911045614,13.455074772638062,15.433518648147583
2,ws15_fh7_var1,TCN,7,15,1,4.87755964340907,16.097108152983626,15.518995761871338
2,ws15_fh7_var3,TCN,7,15,3,7.817327075552543,26.58624751472339,15.905828475952148
2,ws30_fh1_var1,TCN,1,30,1,3.05357390525961,10.033508009743377,11.057681322097778
2,ws30_fh1_var3,TCN,1,30,3,4.458723550384025,15.121904871459465,11.352085828781128
2,ws30_fh3_var1,TCN,3,30,1,3.5696579096526535,11.46030008678675,15.609124660491943
2,ws30_fh3_var3,TCN,3,30,3,4.329770866041234,14.454834245594073,15.350914478302002
2,ws30_fh7_var1,TCN,7,30,1,4.674738885416356,15.228160627794288,14.630563259124756
2,ws30_fh7_var3,TCN,7,30,3,9.27235848205922,32.036886267140325,15.239666938781738
3,ws7_fh1_var1,TCN,1,7,1,2.3208376989369444,7.454636718529836,11.727312088012695
3,ws7_fh1_var3,TCN,1,7,3,4.61388904676438,16.10391867026476,12.08177924156189
3,ws7_fh3_var1,TCN,3,7,1,5.2255376489267675,18.042742943802082,15.446634292602539
3,ws7_fh3_var3,TCN,3,7,3,6.509764517173774,22.111620422621574,15.634533643722534
3,ws7_fh7_var1,TCN,7,7,1,4.356911943448589,14.00656607390903,15.736334085464478
3,ws7_fh7_var3,TCN,7,7,3,5.2291571195087325,16.99012007519169,15.502369403839111
3,ws15_fh1_var1,TCN,1,15,1,3.3007509345918535,11.407931756254124,12.262532711029053
3,ws15_fh1_var3,TCN,1,15,3,4.698874901479163,16.331044490253866,12.197150707244873
3,ws15_fh3_var1,TCN,3,15,1,3.6796184611521174,11.982817328763257,15.287777185440063
3,ws15_fh3_var3,TCN,3,15,3,8.256523552732032,27.5327354209194,15.663986921310425
3,ws15_fh7_var1,TCN,7,15,1,4.733934551845739,15.490916150509895,15.40697455406189
3,ws15_fh7_var3,TCN,7,15,3,5.886604979610484,19.43896251282531,15.359975814819336
3,ws30_fh1_var1,TCN,1,30,1,5.811481626870271,21.013026437374585,11.055436134338379
3,ws30_fh1_var3,TCN,1,30,3,4.663811972518923,15.33511134834725,10.909435987472534
3,ws30_fh3_var1,TCN,3,30,1,4.312442780395799,14.648110878324939,15.014403343200684
3,ws30_fh3_var3,TCN,3,30,3,5.6510299251815965,18.640018487919328,15.569149494171143
3,ws30_fh7_var1,TCN,7,30,1,5.431721377547599,18.618249862920237,15.175590991973877
3,ws30_fh7_var3,TCN,7,30,3,8.281801910354167,28.67455785452833,14.974858283996582
4,ws7_fh1_var1,TCN,1,7,1,4.218587510609475,14.752549167408075,11.625905513763428
4,ws7_fh1_var3,TCN,1,7,3,7.282076757663202,23.938233637593285,11.77467155456543
4,ws7_fh3_var1,TCN,3,7,1,2.9908091281717333,9.399745670188956,15.642479181289673
4,ws7_fh3_var3,TCN,3,7,3,5.730722635384869,19.719405588299544,15.72223687171936
4,ws7_fh7_var1,TCN,7,7,1,4.284720251217986,14.029184182661997,15.572834253311157
4,ws7_fh7_var3,TCN,7,7,3,5.653357415482158,18.507011923205884,15.63569688796997
4,ws15_fh1_var1,TCN,1,15,1,2.5163656612816134,8.158792752600315,11.896153450012207
4,ws15_fh1_var3,TCN,1,15,3,6.80324685203537,22.571521777702216,12.277278184890747
4,ws15_fh3_var1,TCN,3,15,1,3.5849753476825406,11.783803100313829,15.126156568527222
4,ws15_fh3_var3,TCN,3,15,3,5.616652419328832,19.295081781367426,15.244333982467651
4,ws15_fh7_var1,TCN,7,15,1,6.474544124318281,22.457942405380376,15.165123701095581
4,ws15_fh7_var3,TCN,7,15,3,7.457187362801426,24.772746151249567,15.498839855194092
4,ws30_fh1_var1,TCN,1,30,1,3.3268602263533094,11.742565272199872,11.204955339431763
4,ws30_fh1_var3,TCN,1,30,3,7.29876376013898,26.084206781276926,11.023274660110474
4,ws30_fh3_var1,TCN,3,30,1,6.390771648075096,22.413226288008477,15.162243366241455
4,ws30_fh3_var3,TCN,3,30,3,7.6618195023809825,26.38052948101611,15.267383337020874
4,ws30_fh7_var1,TCN,7,30,1,5.594300160331187,18.87133528988231,14.787752389907837
4,ws30_fh7_var3,TCN,7,30,3,8.677045540410598,30.053665442896726,14.853648900985718
5,ws7_fh1_var1,TCN,1,7,1,4.88726785866674,17.26380722921635,11.528056621551514
5,ws7_fh1_var3,TCN,1,7,3,4.754498072279793,15.484719374009998,11.691449165344238
5,ws7_fh3_var1,TCN,3,7,1,7.814980273681009,26.999783994623733,15.409617900848389
5,ws7_fh3_var3,TCN,3,7,3,10.578828041982488,36.250046490208824,15.535176277160645
5,ws7_fh7_var1,TCN,7,7,1,4.561877236821901,14.8393281736623,15.619616508483887
5,ws7_fh7_var3,TCN,7,7,3,6.971617052551912,23.449187655296488,15.563031435012817
5,ws15_fh1_var1,TCN,1,15,1,4.390988254609102,15.290910587180173,11.790583610534668
5,ws15_fh1_var3,TCN,1,15,3,8.91546519009209,29.492966119469582,11.937252283096313
5,ws15_fh3_var1,TCN,3,15,1,4.654075966548265,15.897114891962607,15.151429414749146
5,ws15_fh3_var3,TCN,3,15,3,8.231778455930206,28.667580935011177,15.307612895965576
5,ws15_fh7_var1,TCN,7,15,1,4.861737993860291,16.341297413923193,15.723212242126465
5,ws15_fh7_var3,TCN,7,15,3,5.620550740675273,18.923765802757604,15.374626636505127
5,ws30_fh1_var1,TCN,1,30,1,2.6224599480252535,8.815851636969596,10.954034090042114
5,ws30_fh1_var3,TCN,1,30,3,6.020445215828856,19.128746037337667,11.000921249389648
5,ws30_fh3_var1,TCN,3,30,1,2.9222872695242867,9.425412080196404,15.00396728515625
5,ws30_fh3_var3,TCN,3,30,3,6.974376510990545,22.45577506045343,15.35487675666809
5,ws30_fh7_var1,TCN,7,30,1,4.605404439595113,15.210977895006787,14.795237064361572
5,ws30_fh7_var3,TCN,7,30,3,6.446426329369962,21.464351336294925,15.20893120765686
6,ws7_fh1_var1,TCN,1,7,1,3.4912713381942737,12.084916762959475,11.836802244186401
6,ws7_fh1_var3,TCN,1,7,3,3.831866076569015,12.634413194087344,11.792527675628662
6,ws7_fh3_var1,TCN,3,7,1,3.0446531976990094,9.461966668967241,15.494701385498047
6,ws7_fh3_var3,TCN,3,7,3,4.276322310114481,13.579464632764982,15.521363735198975
6,ws7_fh7_var1,TCN,7,7,1,4.109680916591288,13.014739467456174,15.668228149414062
6,ws7_fh7_var3,TCN,7,7,3,6.20263237985968,20.397313022818146,15.595216989517212
6,ws15_fh1_var1,TCN,1,15,1,3.091159491245444,10.31655437652695,11.939244508743286
6,ws15_fh1_var3,TCN,1,15,3,6.200440512850364,21.20812797683625,12.093721866607666
6,ws15_fh3_var1,TCN,3,15,1,2.6968875204396032,8.43750284687856,15.280220985412598
6,ws15_fh3_var3,TCN,3,15,3,5.476376630499748,18.143954543578666,15.13212776184082
6,ws15_fh7_var1,TCN,7,15,1,5.8207753858855265,19.836041167301268,15.40317416191101
6,ws15_fh7_var3,TCN,7,15,3,5.545245544996425,17.998674139252905,15.527334451675415
6,ws30_fh1_var1,TCN,1,30,1,2.1737522153317057,7.280526091622377,11.085259675979614
6,ws30_fh1_var3,TCN,1,30,3,3.0107038244922397,10.15912027135277,11.132084846496582
6,ws30_fh3_var1,TCN,3,30,1,4.026062396910959,12.904075775391854,15.18648362159729
6,ws30_fh3_var3,TCN,3,30,3,7.596877296852983,25.671434103070467,15.28162169456482
6,ws30_fh7_var1,TCN,7,30,1,4.7438671635755805,15.776479264630092,14.71062684059143
6,ws30_fh7_var3,TCN,7,30,3,6.127521714278093,20.462923651265864,14.798057556152344
7,ws7_fh1_var1,TCN,1,7,1,4.680704586015509,16.218948044149506,11.570733547210693
7,ws7_fh1_var3,TCN,1,7,3,5.418617424821018,17.978311099634787,11.835240364074707
7,ws7_fh3_var1,TCN,3,7,1,3.498367807860383,11.340771026624626,15.559236764907837
7,ws7_fh3_var3,TCN,3,7,3,5.093346515314591,17.31460287877597,15.620559930801392
7,ws7_fh7_var1,TCN,7,7,1,4.600990979377253,14.983416867675794,15.571086883544922
7,ws7_fh7_var3,TCN,7,7,3,6.568641013133617,22.412426967680897,15.594721794128418
7,ws15_fh1_var1,TCN,1,15,1,2.720122017444733,8.870501066149673,11.902407169342041
7,ws15_fh1_var3,TCN,1,15,3,6.172976525024859,19.908120255700542,12.14694094657898
7,ws15_fh3_var1,TCN,3,15,1,4.671281935616519,15.727167344714276,15.515437841415405
7,ws15_fh3_var3,TCN,3,15,3,5.012100425932629,17.241440012678556,15.220032215118408
7,ws15_fh7_var1,TCN,7,15,1,6.1836280210016294,21.36958008475879,15.373262166976929
7,ws15_fh7_var3,TCN,7,15,3,6.298917436359668,21.19939719165444,15.334508419036865
7,ws30_fh1_var1,TCN,1,30,1,3.761431224026962,12.616202417691868,10.836223602294922
7,ws30_fh1_var3,TCN,1,30,3,9.517726328408466,32.75965735231688,11.180108070373535
7,ws30_fh3_var1,TCN,3,30,1,3.6491422229928254,11.966164658063045,15.311017990112305
7,ws30_fh3_var3,TCN,3,30,3,3.997026092415189,12.946835666797371,15.355944395065308
7,ws30_fh7_var1,TCN,7,30,1,5.206386649998978,17.54138337937436,14.88890528678894
7,ws30_fh7_var3,TCN,7,30,3,7.148454626196956,24.221512518340045,14.941881656646729
8,ws7_fh1_var1,TCN,1,7,1,3.7889530207872424,13.182047665377858,11.779146671295166
8,ws7_fh1_var3,TCN,1,7,3,4.951136317358179,15.81438099749979,11.682192087173462
8,ws7_fh3_var1,TCN,3,7,1,4.264072830425479,14.193037234523356,15.439229249954224
8,ws7_fh3_var3,TCN,3,7,3,6.777584387543773,23.342785431447663,15.549681901931763
8,ws7_fh7_var1,TCN,7,7,1,4.724078122029374,15.462322940822022,15.51008939743042
8,ws7_fh7_var3,TCN,7,7,3,7.630332927990927,26.02320702751351,15.887523889541626
8,ws15_fh1_var1,TCN,1,15,1,1.8539063342969162,5.716483052073736,11.836066246032715
8,ws15_fh1_var3,TCN,1,15,3,4.152315296799162,13.626071714027749,12.063807249069214
8,ws15_fh3_var1,TCN,3,15,1,4.6292218912739616,15.859925915877762,15.167664766311646
8,ws15_fh3_var3,TCN,3,15,3,5.6940726760597995,19.30575223021261,15.313165426254272
8,ws15_fh7_var1,TCN,7,15,1,4.84818513525403,16.346892728941924,15.41681718826294
8,ws15_fh7_var3,TCN,7,15,3,6.0846304110131735,20.66764456723884,15.51684832572937
8,ws30_fh1_var1,TCN,1,30,1,8.282644622915825,29.7457564565926,10.53568959236145
8,ws30_fh1_var3,TCN,1,30,3,7.7300043875708235,26.39158481354874,11.161604642868042
8,ws30_fh3_var1,TCN,3,30,1,3.2981351820641756,10.752195204161364,15.099781036376953
8,ws30_fh3_var3,TCN,3,30,3,6.179787986566371,18.79637742122038,15.390190124511719
8,ws30_fh7_var1,TCN,7,30,1,5.492022176190398,18.90949793163282,14.809293031692505
8,ws30_fh7_var3,TCN,7,30,3,8.329300162282527,28.9820020372357,14.909803628921509
9,ws7_fh1_var1,TCN,1,7,1,4.475700950296398,15.632307190502798,11.557804584503174
9,ws7_fh1_var3,TCN,1,7,3,6.514869128691955,21.310989837800985,11.721315383911133
9,ws7_fh3_var1,TCN,3,7,1,5.740010925380564,19.729774922593247,15.470081329345703
9,ws7_fh3_var3,TCN,3,7,3,9.09803117102179,31.567516987202442,15.467921257019043
9,ws7_fh7_var1,TCN,7,7,1,5.572030254461979,18.991316568701997,15.585740804672241
9,ws7_fh7_var3,TCN,7,7,3,6.1930261923716285,20.898471957445704,15.577248334884644
