dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,LSTM,15,1,1,3.5414103564614208,11.050332672542464,9.471049225330352
ws15_fh1_var3,LSTM,15,1,3,3.9259949163995804,13.327861663713927,9.758593153953552
ws15_fh3_var1,LSTM,15,3,1,3.8369685314721047,11.737817469078385,9.847650146484375
ws15_fh3_var3,LSTM,15,3,3,3.471074272632896,10.886398609899926,9.85393328666687
ws15_fh7_var1,LSTM,15,7,1,4.825961298625729,14.812318623595582,10.391845548152924
ws15_fh7_var3,LSTM,15,7,3,4.514025393746432,13.65994504655543,10.677845740318299
ws30_fh1_var1,LSTM,30,1,1,3.4211147438065614,10.642821153567322,11.35303270816803
ws30_fh1_var3,LSTM,30,1,3,3.859738806635049,13.004917549772662,10.928792095184326
ws30_fh3_var1,LSTM,30,3,1,3.750289098801928,11.518030703685833,11.081782722473145
ws30_fh3_var3,LSTM,30,3,3,3.3824247940585286,10.4559557163494,11.406293606758117
ws30_fh7_var1,LSTM,30,7,1,4.709625116334734,14.339051472311642,11.293005013465882
ws30_fh7_var3,LSTM,30,7,3,4.511947873264134,13.532927234555453,11.117449855804443
ws7_fh1_var1,LSTM,7,1,1,3.5200864112926746,11.09367215710431,9.403019666671753
ws7_fh1_var3,LSTM,7,1,3,3.7159976860190627,12.704797352592717,9.381859576702118
ws7_fh3_var1,LSTM,7,3,1,3.5675756985087963,10.937432510248467,9.459924924373627
ws7_fh3_var3,LSTM,7,3,3,3.3387642725562805,10.49423361204356,9.22431856393814
ws7_fh7_var1,LSTM,7,7,1,4.514352753690551,13.75386746759753,9.727435958385467
ws7_fh7_var3,LSTM,7,7,3,4.351257754767093,13.22698157578194,9.720941996574402
