dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws7_fh7_var1,TKAN,7,7,1,3.9727207239557054,12.880731523077765,52.00411558151245,0
ws7_fh7_var3,TKAN,7,7,3,4.066456876212216,12.006397456562597,36.382840156555176,0
ws15_fh7_var1,TKAN,7,15,1,3.6886165766402077,11.429929182309166,70.82703852653503,0
ws15_fh7_var3,TKAN,7,15,3,3.9994173714052543,12.142531420419319,63.575541496276855,0
ws30_fh7_var1,TKAN,7,30,1,3.8940394141574126,12.24042863656329,136.45476651191711,0
ws30_fh7_var3,TKAN,7,30,3,4.218747853971821,12.800128653190498,119.42549276351929,0
ws7_fh7_var1,TKAN,7,7,1,4.970819850388272,16.910856033311198,31.64827585220337,1
ws7_fh7_var3,TKAN,7,7,3,3.720407801947486,11.342211930151011,39.223345041275024,1
ws15_fh7_var1,TKAN,7,15,1,3.813745848498609,12.199273919499285,67.3876724243164,1
ws15_fh7_var3,TKAN,7,15,3,4.259979719730235,13.006353877584163,49.27495336532593,1
ws30_fh7_var1,TKAN,7,30,1,3.733184231830976,11.672940768235001,129.07254147529602,1
ws30_fh7_var3,TKAN,7,30,3,4.0072638616312375,12.465958889557049,125.36791515350342,1
ws7_fh7_var1,TKAN,7,7,1,4.333072194353737,14.082511710755078,26.984341859817505,2
ws7_fh7_var3,TKAN,7,7,3,3.6432151509961184,10.964348470123317,41.92334985733032,2
ws15_fh7_var1,TKAN,7,15,1,3.73387097296811,11.630948810891846,68.72440528869629,2
ws15_fh7_var3,TKAN,7,15,3,3.6758630758289383,11.359226805503145,68.63516664505005,2
ws30_fh7_var1,TKAN,7,30,1,3.810080900928973,12.011472805056897,131.39642214775085,2
ws30_fh7_var3,TKAN,7,30,3,4.99733182272047,17.03353038033318,137.5206322669983,2
ws7_fh7_var1,TKAN,7,7,1,5.224083030771567,17.233291378222436,40.14826011657715,3
ws7_fh7_var3,TKAN,7,7,3,3.7424870276174946,11.87375653924548,38.85775542259216,3
ws15_fh7_var1,TKAN,7,15,1,3.768169559923449,11.939535490677729,70.23571491241455,3
