run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh1_var1,TCN,1,7,1,2.468920154928453,7.460471942013899,15.793330669403076
1,ws7_fh1_var3,TCN,1,7,3,16.131680652259035,56.69068897121918,12.917809247970581
1,ws7_fh3_var1,TCN,3,7,1,3.680700997331089,12.267781806169891,17.92129898071289
1,ws7_fh3_var3,TCN,3,7,3,5.833830092587899,19.05536312139801,17.202613830566406
1,ws7_fh7_var1,TCN,7,7,1,4.93446107408509,16.369416872504203,17.844035148620605
1,ws7_fh7_var3,TCN,7,7,3,6.590817086272993,22.175274185146655,17.25379753112793
1,ws15_fh1_var1,TCN,1,15,1,1.7225531177909301,5.117116512694948,13.871848344802856
1,ws15_fh1_var3,TCN,1,15,3,6.571495585298347,21.380574623519582,13.158801078796387
1,ws15_fh3_var1,TCN,3,15,1,3.6275850602989244,11.739596177827645,17.240787506103516
1,ws15_fh3_var3,TCN,3,15,3,6.612405044038758,22.88222493131878,16.705583572387695
1,ws15_fh7_var1,TCN,7,15,1,4.910115531224621,16.31362355666949,17.289350509643555
1,ws15_fh7_var3,TCN,7,15,3,5.745154259914911,18.9721049971795,17.247945547103882
1,ws30_fh1_var1,TCN,1,30,1,3.695216989365189,12.419195093343564,13.014217376708984
1,ws30_fh1_var3,TCN,1,30,3,6.816975491764769,23.860886533358233,12.334797859191895
1,ws30_fh3_var1,TCN,3,30,1,4.965301197026921,17.167882669468206,17.603574991226196
1,ws30_fh3_var3,TCN,3,30,3,5.975413769714539,20.736491576805108,16.975298643112183
1,ws30_fh7_var1,TCN,7,30,1,5.211362265281274,17.42781874363779,17.06782364845276
1,ws30_fh7_var3,TCN,7,30,3,6.192623140903801,20.946700584112698,16.68063473701477
2,ws7_fh1_var1,TCN,1,7,1,4.45315596580274,15.50790459192393,12.422502994537354
2,ws7_fh1_var3,TCN,1,7,3,4.462080316821724,15.47937417969973,12.128126621246338
2,ws7_fh3_var1,TCN,3,7,1,2.956771992367614,9.132312314508862,16.315178394317627
2,ws7_fh3_var3,TCN,3,7,3,6.130985308154844,19.94838228933017,16.668154001235962
2,ws7_fh7_var1,TCN,7,7,1,5.206190116445915,17.361895586770864,15.974828481674194
2,ws7_fh7_var3,TCN,7,7,3,10.241892896516022,35.87622575712485,16.22045135498047
2,ws15_fh1_var1,TCN,1,15,1,4.771488462415255,16.51604659726117,12.398022651672363
2,ws15_fh1_var3,TCN,1,15,3,4.796180970894439,15.947566433400223,12.506704092025757
2,ws15_fh3_var1,TCN,3,15,1,4.931428205235355,17.073695824159337,15.595649242401123
2,ws15_fh3_var3,TCN,3,15,3,4.2099255047292,13.455073205082268,15.907151222229004
2,ws15_fh7_var1,TCN,7,15,1,4.877560094191267,16.09711014785068,15.879374980926514
2,ws15_fh7_var3,TCN,7,15,3,7.817327075552543,26.58624751472339,16.16178822517395
2,ws30_fh1_var1,TCN,1,30,1,3.0535737995405174,10.033507515538172,11.694195032119751
2,ws30_fh1_var3,TCN,1,30,3,4.458721797209069,15.121897733393169,11.344444990158081
2,ws30_fh3_var1,TCN,3,30,1,3.569658186335943,11.460301259005213,15.971374273300171
2,ws30_fh3_var3,TCN,3,30,3,4.329770626150935,14.45483333537865,15.83138656616211
2,ws30_fh7_var1,TCN,7,30,1,4.6747392489315915,15.22816198044068,14.96859884262085
2,ws30_fh7_var3,TCN,7,30,3,9.272358353090336,32.03688578145601,15.678439140319824
3,ws7_fh1_var1,TCN,1,7,1,2.320837480704835,7.454635995617667,12.142271757125854
3,ws7_fh1_var3,TCN,1,7,3,4.61388904676438,16.10391867026476,12.049469709396362
3,ws7_fh3_var1,TCN,3,7,1,5.2255374190556125,18.04274219079317,15.875529050827026
3,ws7_fh3_var3,TCN,3,7,3,6.5097646102861395,22.111620597914854,16.01205039024353
3,ws7_fh7_var1,TCN,7,7,1,4.356911619099329,14.006564721842057,16.254997491836548
3,ws7_fh7_var3,TCN,7,7,3,5.229157741334385,16.99012266409363,16.148831367492676
3,ws15_fh1_var1,TCN,1,15,1,3.3007495390776014,11.407926372901251,12.21907091140747
3,ws15_fh1_var3,TCN,1,15,3,4.698875268950001,16.331045946906215,12.180745601654053
3,ws15_fh3_var1,TCN,3,15,1,3.6796186131553803,11.98281799696467,15.635802984237671
3,ws15_fh3_var3,TCN,3,15,3,8.256523358343243,27.532734558055544,15.643691778182983
3,ws15_fh7_var1,TCN,7,15,1,4.732893609669223,15.486088137502104,16.0642831325531
3,ws15_fh7_var3,TCN,7,15,3,5.886604979610484,19.43896251282531,15.824464082717896
3,ws30_fh1_var1,TCN,1,30,1,5.811481679729817,21.013026612292364,11.517457008361816
3,ws30_fh1_var3,TCN,1,30,3,4.663811351419253,15.335109232846438,11.378521203994751
3,ws30_fh3_var1,TCN,3,30,1,4.31244309387208,14.64811242081033,15.286092519760132
3,ws30_fh3_var3,TCN,3,30,3,5.651030053221205,18.64001905047575,15.379934787750244
3,ws30_fh7_var1,TCN,7,30,1,5.4317186268436215,18.618237796189412,15.362261295318604
3,ws30_fh7_var3,TCN,7,30,3,8.281804672437753,28.67456804195357,15.566975355148315
4,ws7_fh1_var1,TCN,1,7,1,4.21858768083052,14.752549774491852,12.034027576446533
4,ws7_fh1_var3,TCN,1,7,3,7.282076757663202,23.938233637593285,11.968439102172852
4,ws7_fh3_var1,TCN,3,7,1,2.9908090205105595,9.39974501657996,15.74356746673584
4,ws7_fh3_var3,TCN,3,7,3,5.730722719767951,19.719405886098187,15.61982011795044
4,ws7_fh7_var1,TCN,7,7,1,4.284722127319099,14.029192157686929,15.931535959243774
4,ws7_fh7_var3,TCN,7,7,3,5.653357013639048,18.507010209170225,16.424355268478394
4,ws15_fh1_var1,TCN,1,15,1,2.5163654119264023,8.158791828351783,12.418964862823486
4,ws15_fh1_var3,TCN,1,15,3,6.803126986547896,22.571121941748135,12.142821550369263
4,ws15_fh3_var1,TCN,3,15,1,3.5849756736126133,11.783804391066594,15.746954679489136
4,ws15_fh3_var3,TCN,3,15,3,5.6166517952385115,19.29507928519571,15.494141817092896
4,ws15_fh7_var1,TCN,7,15,1,6.474542754392436,22.45793704017042,15.723764181137085
4,ws15_fh7_var3,TCN,7,15,3,7.457187362801426,24.772746151249567,15.81181788444519
4,ws30_fh1_var1,TCN,1,30,1,3.3268586449718796,11.74255912420565,11.327444076538086
4,ws30_fh1_var3,TCN,1,30,3,7.298763231543517,26.08420501721538,11.593860626220703
4,ws30_fh3_var1,TCN,3,30,1,6.390771446449507,22.41322556654807,15.224218130111694
4,ws30_fh3_var3,TCN,3,30,3,7.661819470003152,26.380529386289698,15.781518936157227
4,ws30_fh7_var1,TCN,7,30,1,5.594300222919027,18.871334834786015,15.343850374221802
4,ws30_fh7_var3,TCN,7,30,3,8.677043367537793,30.053656999265037,15.397557973861694
5,ws7_fh1_var1,TCN,1,7,1,4.887267753915328,17.26380681873635,12.075268507003784
5,ws7_fh1_var3,TCN,1,7,3,4.754498072279793,15.484719374009998,11.925819396972656
5,ws7_fh3_var1,TCN,3,7,1,7.814980269316366,26.999783964627326,15.884883165359497
5,ws7_fh3_var3,TCN,3,7,3,10.578828130730214,36.2500466720102,15.858588457107544
5,ws7_fh7_var1,TCN,7,7,1,4.5618783848557936,14.839332929531798,15.896567583084106
5,ws7_fh7_var3,TCN,7,7,3,6.971620117933646,23.449199241002677,16.25899076461792
5,ws15_fh1_var1,TCN,1,15,1,4.390988355226117,15.290910797291646,12.28168511390686
5,ws15_fh1_var3,TCN,1,15,3,8.91546491011431,29.49296493195591,12.105448246002197
5,ws15_fh3_var1,TCN,3,15,1,4.64908781968474,15.879421066655466,15.560068130493164
5,ws15_fh3_var3,TCN,3,15,3,8.23177781576262,28.667578415180728,15.539584875106812
5,ws15_fh7_var1,TCN,7,15,1,4.861738311542453,16.341298639568294,15.70084261894226
5,ws15_fh7_var3,TCN,7,15,3,5.620550740675273,18.923765802757604,15.980406284332275
5,ws30_fh1_var1,TCN,1,30,1,2.6224612562990273,8.815856811972257,11.342187643051147
5,ws30_fh1_var3,TCN,1,30,3,6.020445070465104,19.128745308974494,11.215011835098267
5,ws30_fh3_var1,TCN,3,30,1,2.9222885366748836,9.425416884424783,15.463167667388916
5,ws30_fh3_var3,TCN,3,30,3,6.97437618132535,22.455773738828714,16.00722312927246
5,ws30_fh7_var1,TCN,7,30,1,4.605402820529867,15.210971079648052,15.361976146697998
5,ws30_fh7_var3,TCN,7,30,3,6.445739134690728,21.460399560998713,15.573310375213623
6,ws7_fh1_var1,TCN,1,7,1,3.49127115051466,12.084916092131554,12.213304042816162
6,ws7_fh1_var3,TCN,1,7,3,3.831866076569015,12.634413194087344,12.140697479248047
6,ws7_fh3_var1,TCN,3,7,1,3.044653200608771,9.461966703113168,15.932982683181763
6,ws7_fh3_var3,TCN,3,7,3,4.276322608365031,13.579465613890186,16.006964683532715
6,ws7_fh7_var1,TCN,7,7,1,4.109680969087121,13.014739258938137,16.37546420097351
6,ws7_fh7_var3,TCN,7,7,3,6.204758299980797,20.378064020483176,15.996029615402222
6,ws15_fh1_var1,TCN,1,15,1,3.0911596574822515,10.316554931085182,12.259396314620972
6,ws15_fh1_var3,TCN,1,15,3,6.200440906569119,21.208129612625914,12.519991397857666
6,ws15_fh3_var1,TCN,3,15,1,2.696887644673039,8.43750334393677,15.578726053237915
6,ws15_fh3_var3,TCN,3,15,3,5.4763782923046485,18.143960586753156,15.954038381576538
6,ws15_fh7_var1,TCN,7,15,1,5.820775594953036,19.836042236525113,15.901878595352173
6,ws15_fh7_var3,TCN,7,15,3,5.545245544996425,17.998674139252905,15.870984077453613
6,ws30_fh1_var1,TCN,1,30,1,2.180743266034633,7.3130659847864266,11.264080047607422
6,ws30_fh1_var3,TCN,1,30,3,2.975981769312592,10.033122274431443,11.595716714859009
6,ws30_fh3_var1,TCN,3,30,1,4.026062421930192,12.904075895241936,15.406230449676514
6,ws30_fh3_var3,TCN,3,30,3,7.596876762618759,25.67143244542945,15.799897193908691
6,ws30_fh7_var1,TCN,7,30,1,4.743867862789233,15.776482154958412,15.123141288757324
6,ws30_fh7_var3,TCN,7,30,3,6.138869748888739,20.507268654785122,15.387083053588867
7,ws7_fh1_var1,TCN,1,7,1,4.680705650988202,16.218951954648215,11.887321472167969
7,ws7_fh1_var3,TCN,1,7,3,5.418617424821018,17.978311099634787,12.144904613494873
7,ws7_fh3_var1,TCN,3,7,1,3.498367877694657,11.340771244532467,15.822661876678467
7,ws7_fh3_var3,TCN,3,7,3,5.093346380010684,17.314602379556018,16.06923270225525
7,ws7_fh7_var1,TCN,7,7,1,4.6009915199593525,14.983418963654385,15.982388973236084
7,ws7_fh7_var3,TCN,7,7,3,6.568640013837921,22.412423361991817,16.054935693740845
7,ws15_fh1_var1,TCN,1,15,1,2.720122109312442,8.870501462605624,12.296078205108643
7,ws15_fh1_var3,TCN,1,15,3,6.172977028109934,19.908122005836894,12.59092378616333
7,ws15_fh3_var1,TCN,3,15,1,4.67128210223548,15.727167716926996,15.67898964881897
7,ws15_fh3_var3,TCN,3,15,3,5.012100161388489,17.241438981610106,15.499630451202393
7,ws15_fh7_var1,TCN,7,15,1,6.183628007189361,21.36957985541123,15.965705394744873
7,ws15_fh7_var3,TCN,7,15,3,6.298917436359668,21.19939719165444,15.817241430282593
7,ws30_fh1_var1,TCN,1,30,1,3.7614308628200614,12.616201090652519,11.26923680305481
7,ws30_fh1_var3,TCN,1,30,3,9.517726112565319,32.759656771658136,11.241552114486694
7,ws30_fh3_var1,TCN,3,30,1,3.6491422671444145,11.966164925630093,15.490117073059082
7,ws30_fh3_var3,TCN,3,30,3,3.9970258996199184,12.9468350748947,15.514198541641235
7,ws30_fh7_var1,TCN,7,30,1,5.214897573363403,17.57770942122187,15.01147723197937
7,ws30_fh7_var3,TCN,7,30,3,7.148455318456402,24.221515176782855,15.083940267562866
8,ws7_fh1_var1,TCN,1,7,1,3.788952798190491,13.182046899203554,11.821186304092407
8,ws7_fh1_var3,TCN,1,7,3,4.951136317358179,15.81438099749979,11.951088666915894
8,ws7_fh3_var1,TCN,3,7,1,4.264072810057149,14.193037082085644,15.198067426681519
8,ws7_fh3_var3,TCN,3,7,3,6.777584503934232,23.342785785612744,15.578080892562866
8,ws7_fh7_var1,TCN,7,7,1,4.724079185070011,15.462327199050579,15.772090911865234
8,ws7_fh7_var3,TCN,7,7,3,7.6303333254593815,26.023208170862855,16.044246435165405
8,ws15_fh1_var1,TCN,1,15,1,1.85390661864935,5.71648430528179,12.088180303573608
8,ws15_fh1_var3,TCN,1,15,3,4.1523151174383965,13.626071158297265,12.320452451705933
8,ws15_fh3_var1,TCN,3,15,1,4.629221427956325,15.859924278850116,15.32020092010498
8,ws15_fh3_var3,TCN,3,15,3,5.683471624397517,19.266013473847053,15.50581669807434
8,ws15_fh7_var1,TCN,7,15,1,4.848185243240853,16.346893296766716,15.714292526245117
8,ws15_fh7_var3,TCN,7,15,3,6.0846304110131735,20.66764456723884,15.681955337524414
8,ws30_fh1_var1,TCN,1,30,1,8.282644499576882,29.74575592485362,10.679244995117188
8,ws30_fh1_var3,TCN,1,30,3,7.7300053214228095,26.391587851774712,11.315942764282227
8,ws30_fh3_var1,TCN,3,30,1,3.2981357001094835,10.752197031011008,15.357983827590942
8,ws30_fh3_var3,TCN,3,30,3,6.179787743732633,18.796376307950442,15.917428493499756
8,ws30_fh7_var1,TCN,7,30,1,5.4920271674126235,18.909517134249892,14.996707677841187
8,ws30_fh7_var3,TCN,7,30,3,8.329299076162226,28.981998131588426,15.063556432723999
9,ws7_fh1_var1,TCN,1,7,1,4.475701330020268,15.632308544389545,11.901878595352173
9,ws7_fh1_var3,TCN,1,7,3,6.514869128691955,21.310989837800985,12.094493389129639
9,ws7_fh3_var1,TCN,3,7,1,5.740010688235007,19.729773947189774,15.923045635223389
9,ws7_fh3_var3,TCN,3,7,3,9.098030644354965,31.5675151335234,15.665245294570923
9,ws7_fh7_var1,TCN,7,7,1,5.572028114006846,18.991308288784573,16.011191606521606
9,ws7_fh7_var3,TCN,7,7,3,6.182330884002863,20.849737441719565,15.835920095443726
9,ws15_fh1_var1,TCN,1,15,1,4.019814517874179,13.729050843823288,12.34019160270691
9,ws15_fh1_var3,TCN,1,15,3,4.813109924697628,16.791007853283485,12.049455642700195
9,ws15_fh3_var1,TCN,3,15,1,3.4636700244138923,11.342704404774388,15.507901668548584
9,ws15_fh3_var3,TCN,3,15,3,6.697291225663522,22.924930117795814,15.624743223190308
9,ws15_fh7_var1,TCN,7,15,1,5.13674183487429,17.385987209901746,15.663371324539185
9,ws15_fh7_var3,TCN,7,15,3,5.470659016931877,17.82876831203464,16.019599437713623
9,ws30_fh1_var1,TCN,1,30,1,3.4157302653387096,11.013176102373603,11.217641353607178
9,ws30_fh1_var3,TCN,1,30,3,3.9246440275474557,12.248251157269928,11.249789714813232
9,ws30_fh3_var1,TCN,3,30,1,3.3988763123499823,10.95533231931412,15.64433765411377
9,ws30_fh3_var3,TCN,3,30,3,7.04431401255984,23.289351923654955,15.599714756011963
9,ws30_fh7_var1,TCN,7,30,1,4.510234296965073,14.251935599706101,15.224028825759888
9,ws30_fh7_var3,TCN,7,30,3,7.867855700565596,26.38396064960194,15.535191535949707
10,ws7_fh1_var1,TCN,1,7,1,4.04888152818081,14.199800795184784,11.995641231536865
10,ws7_fh1_var3,TCN,1,7,3,8.676333705929467,29.350996801604374,12.149606704711914
10,ws7_fh3_var1,TCN,3,7,1,4.794745569090894,15.906459583139599,16.088913202285767
