dataset,model,n_ahead,ws,n_var,mae,mape,training_time,best_params
ws7_fh1_var1,TKAN,1,7,1,2.4079752146235958,8.210823126036805,15.61407470703125,"{'learning_rate': 0.0783289737617831, 'n_ahead': 1.0, 'sub_kan_input_dim': 28.63401496634053, 'sub_kan_output_dim': 18.50687756526693, 'units': 8.531685995337925}"
ws7_fh1_var3,TKAN,1,7,3,2.1427249639964305,6.665451467041822,15.585449695587158,"{'learning_rate': 0.025911436229921793, 'n_ahead': 1.0, 'sub_kan_input_dim': 29.906436608994035, 'sub_kan_output_dim': 10.22909397026049, 'units': 8.413406917187817}"
ws15_fh1_var1,TKAN,1,15,1,1.9668515139256093,6.5971187453508255,24.05684733390808,"{'learning_rate': 0.05191142202513159, 'n_ahead': 1.0, 'sub_kan_input_dim': 25.830101282150093, 'sub_kan_output_dim': 16.019692178085656, 'units': 19.028986788608826}"
ws15_fh1_var3,TKAN,1,15,3,2.316149430104566,7.416718984614048,30.352921962738037,"{'learning_rate': 0.07401011492192276, 'n_ahead': 1.0, 'sub_kan_input_dim': 16.326939555812167, 'sub_kan_output_dim': 12.730891596470492, 'units': 17.2155202436384}"
ws30_fh1_var1,TKAN,1,30,1,1.5665902554829036,4.825035595677949,55.98993468284607,"{'learning_rate': 0.019940382558356, 'n_ahead': 1.0, 'sub_kan_input_dim': 22.684501355341087, 'sub_kan_output_dim': 27.876544013071914, 'units': 17.028818325727404}"
ws30_fh1_var3,TKAN,1,30,3,2.27157980075038,7.155382407185501,30.11981749534607,"{'learning_rate': 0.01387916177919652, 'n_ahead': 1.0, 'sub_kan_input_dim': 17.246966192610643, 'sub_kan_output_dim': 21.00743207257131, 'units': 10.289193813674917}"
