dataset,n_ahead,ws,n_var,mae,optim_time,best_params
ws7_fh3_var1,3,7,1,2.224770004866288,1276.8244545459747,"{'learning_rate': 0.08936735847688405, 'n_ahead': 3.0, 'sub_kan_input_dim': 43.964626948476486, 'sub_kan_output_dim': 42.420267495156715, 'units': 35.32199052775711}"
ws7_fh3_var3,3,7,3,2.24645273693936,1280.7985367774963,"{'learning_rate': 0.06700728884324166, 'n_ahead': 3.0, 'sub_kan_input_dim': 54.0265215272153, 'sub_kan_output_dim': 29.4612283787312, 'units': 46.71125412067736}"
ws15_fh3_var1,3,15,1,2.232789769553287,1891.6620607376099,"{'learning_rate': 0.04998895474344098, 'n_ahead': 3.0, 'sub_kan_input_dim': 24.405349185256156, 'sub_kan_output_dim': 28.60694650812264, 'units': 90.7621329068338}"
ws15_fh3_var3,3,15,3,2.3723309903770247,1888.8844332695007,"{'learning_rate': 0.02480464711450352, 'n_ahead': 3.0, 'sub_kan_input_dim': 39.45683000953571, 'sub_kan_output_dim': 38.383353095732545, 'units': 115.21371244338809}"
ws30_fh3_var1,3,30,1,2.2900937193035764,3048.5715346336365,"{'learning_rate': 0.028945473088571167, 'n_ahead': 3.0, 'sub_kan_input_dim': 22.505205806640173, 'sub_kan_output_dim': 41.425920848718114, 'units': 86.63432551727716}"
ws30_fh3_var3,3,30,3,2.2959945566678446,3207.3431267738342,"{'learning_rate': 0.0407855623739917, 'n_ahead': 3.0, 'sub_kan_input_dim': 11.312295557725434, 'sub_kan_output_dim': 60.90919876547037, 'units': 60.49999135284077}"
