dataset,n_ahead,ws,n_var,mae,optim_time,best_params
ws7_fh7_var1,7,7,1,3.650664055333576,1265.8267109394073,"{'learning_rate': 0.08158765023058434, 'n_ahead': 7.0, 'sub_kan_input_dim': 13.391680867044421, 'sub_kan_output_dim': 27.316389856705655, 'units': 101.49318998158624}"
ws7_fh7_var3,7,7,3,3.5692770518886214,1295.1353812217712,"{'learning_rate': 0.06797111112432189, 'n_ahead': 7.0, 'sub_kan_input_dim': 52.61764481565724, 'sub_kan_output_dim': 16.789924417914957, 'units': 93.16107251321063}"
ws15_fh7_var1,7,15,1,3.6358585841536795,1923.4839379787445,"{'learning_rate': 0.01808783155523698, 'n_ahead': 7.0, 'sub_kan_input_dim': 50.70763606347988, 'sub_kan_output_dim': 27.684929054603685, 'units': 34.262806323730636}"
ws15_fh7_var3,7,15,3,3.568142920480678,1940.770140171051,"{'learning_rate': 0.04724807452529315, 'n_ahead': 7.0, 'sub_kan_input_dim': 50.87087989456354, 'sub_kan_output_dim': 8.713637885344582, 'units': 89.67955570051146}"
ws30_fh7_var1,7,30,1,3.659766623165344,3155.948745727539,"{'learning_rate': 0.009842714387937837, 'n_ahead': 7.0, 'sub_kan_input_dim': 53.92207851448536, 'sub_kan_output_dim': 39.40989883615329, 'units': 50.09149528645299}"
ws30_fh7_var3,7,30,3,3.6542513723091847,3152.069620370865,"{'learning_rate': 0.0972148139107457, 'n_ahead': 7.0, 'sub_kan_input_dim': 18.05000646589946, 'sub_kan_output_dim': 51.94168676170852, 'units': 124.4153466290859}"
