dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.7369680352790358,5.421638791068918,46.19218645095825
ws15_fh1_var3,TKAN,15,1,3,2.2681635405961456,7.136943376912287,46.136326265335086
ws15_fh3_var1,TKAN,15,3,1,2.4870669019241207,7.739932044179431,46.16640748977661
ws15_fh3_var3,TKAN,15,3,3,2.6303959275303876,8.143369181572822,51.39701714515686
ws15_fh7_var1,TKAN,15,7,1,3.7123733171835562,11.524631117782425,46.33126072883606
ws15_fh7_var3,TKAN,15,7,3,4.097911421699738,12.502138459023083,46.325190687179564
ws30_fh1_var1,TKAN,30,1,1,2.0433887650792344,6.409170667865399,80.11978874206542
ws30_fh1_var3,TKAN,30,1,3,2.1656511439051647,6.909541827513001,76.59407405853271
ws30_fh3_var1,TKAN,30,3,1,2.4139346366631997,7.4504875519599505,76.52346291542054
ws30_fh3_var3,TKAN,30,3,3,2.6836233694198306,8.237813869395328,76.4611454963684
ws30_fh7_var1,TKAN,30,7,1,3.6892967638974055,11.231089353756351,79.44200711250305
ws30_fh7_var3,TKAN,30,7,3,4.115452208289458,12.392576217614348,76.8042049407959
ws7_fh1_var1,TKAN,7,1,1,1.614428610007117,5.020612361325255,31.954598665237427
ws7_fh1_var3,TKAN,7,1,3,2.1962369645002173,7.050447808208249,30.136428022384642
ws7_fh3_var1,TKAN,7,3,1,2.4144645910384313,7.598636460697136,30.035018301010133
ws7_fh3_var3,TKAN,7,3,3,2.657337498299847,8.35268519204004,29.807195520401002
ws7_fh7_var1,TKAN,7,7,1,3.7229998589287687,11.557108999208612,32.71496005058289
ws7_fh7_var3,TKAN,7,7,3,4.049134572330159,12.359226595117775,30.01927947998047
