dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh1_var1,TKAN,15,1,1,1.6401891147735284,5.058441453973854,50.552161717414855
ws15_fh1_var3,TKAN,15,1,3,2.1930413256437276,7.138745404943345,50.47840306758881
ws15_fh3_var1,TKAN,15,3,1,2.4157570654458786,7.5970263377921015,51.31090795993805
ws15_fh3_var3,TKAN,15,3,3,2.662454175412867,8.235572436133754,50.305582308769225
ws15_fh7_var1,TKAN,15,7,1,3.821068871238824,12.121128297050028,50.28314018249512
ws15_fh7_var3,TKAN,15,7,3,4.077814047514286,12.26145162052411,54.443102025985716
ws30_fh1_var1,TKAN,30,1,1,2.1795753366755575,6.769412641174727,88.39058887958527
ws30_fh1_var3,TKAN,30,1,3,2.232044411296909,7.176942181345941,84.01702270507812
ws30_fh3_var1,TKAN,30,3,1,2.415106875151972,7.515215202557384,85.69458136558532
ws30_fh3_var3,TKAN,30,3,3,2.729486811866953,8.380449518472938,86.66720151901245
ws30_fh7_var1,TKAN,30,7,1,3.6954861087019437,11.466247797273182,84.2188223361969
ws30_fh7_var3,TKAN,30,7,3,4.04052748461022,12.327919541541725,83.8061299085617
ws7_fh1_var1,TKAN,7,1,1,1.6788781591618906,5.1309063880266645,35.74453358650207
ws7_fh1_var3,TKAN,7,1,3,2.180042837093551,6.95480640949817,33.10242643356323
ws7_fh3_var1,TKAN,7,3,1,2.458042573733293,7.767358921884404,32.94753260612488
ws7_fh3_var3,TKAN,7,3,3,2.677464116221596,8.321442867171326,32.85229787826538
ws7_fh7_var1,TKAN,7,7,1,3.649973463120169,11.327291568488489,32.857157015800475
ws7_fh7_var3,TKAN,7,7,3,4.036103529835963,12.21246589055056,34.22785701751709
