Forcast horizon,dataset,TKAN,LSTM
fh = 1,ws7_fh1_var1,"2,417",
,ws7_fh1_var3,"2,495",
,ws15_fh1_var1,"2,417",
,ws15_fh1_var3,"2,495",
,ws30_fh1_var1,"2,417",
,ws30_fh1_var3,"2,495",
fh = 3,ws7_fh3_var1,"12,035",
,ws7_fh3_var3,"12,287",
,ws15_fh3_var1,"12,035",
,ws15_fh3_var3,"12,287",
,ws30_fh3_var1,"12,035",
,ws30_fh3_var3,"12,287",
fh = 7,ws7_fh7_var1,"29,191",
,ws7_fh7_var3,"29,655",
,ws15_fh7_var1,"29,191",
,ws15_fh7_var3,"29,655",
,ws30_fh7_var1,"29,191",
,ws30_fh7_var3,"29,655",
