dataset,model,ws,n_ahead,n_var,mae,mape,training_time
ws15_fh30_var1,TKAN,15,30,1,6.859240179605725,21.930317916879112,35.309230184555055
ws15_fh30_var3,TKAN,15,30,3,6.040147119681565,17.124072806415604,34.370588064193726
ws30_fh30_var1,TKAN,30,30,1,6.77582911828591,21.496778278627186,63.267625617980954
ws30_fh30_var3,TKAN,30,30,3,6.113153783296033,17.233654380216347,48.64475226402283
ws7_fh30_var1,TKAN,7,30,1,6.473610209393027,20.175327685408085,23.704813766479493
ws7_fh30_var3,TKAN,7,30,3,6.216313041233102,18.102641788467576,22.294953680038454
