run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh1_var1,TCN,1,7,1,2.4689198232156473,7.460470602314008,15.440305471420288
1,ws7_fh1_var3,TCN,1,7,3,16.131680652259035,56.69068897121918,12.639533042907715
1,ws7_fh3_var1,TCN,3,7,1,3.6807002829846525,12.267779056993334,17.73404359817505
1,ws7_fh3_var3,TCN,3,7,3,5.833829728867717,19.05536176432189,16.960885763168335
1,ws7_fh7_var1,TCN,7,7,1,4.934460819730274,16.369415711720738,17.713552236557007
1,ws7_fh7_var3,TCN,7,7,3,6.584815295700092,22.151425600410565,16.83398413658142
1,ws15_fh1_var1,TCN,1,15,1,1.7225541545836502,5.11712075933166,13.553825855255127
1,ws15_fh1_var3,TCN,1,15,3,6.571495782157724,21.380575557895604,13.259130716323853
1,ws15_fh3_var1,TCN,3,15,1,3.6275849974514216,11.739595775876644,17.090593099594116
1,ws15_fh3_var3,TCN,3,15,3,6.612405041115618,22.88222499779208,16.519123554229736
1,ws15_fh7_var1,TCN,7,15,1,4.9101156542793705,16.313624145149966,17.248939990997314
1,ws15_fh7_var3,TCN,7,15,3,5.745153849941687,18.972103475289163,16.866543531417847
1,ws30_fh1_var1,TCN,1,30,1,3.69521701139,12.419195182810325,12.469448328018188
1,ws30_fh1_var3,TCN,1,30,3,6.816974985194116,23.86088469890792,12.251609325408936
1,ws30_fh3_var1,TCN,3,30,1,4.965300434676156,17.167879640809634,17.51922917366028
1,ws30_fh3_var3,TCN,3,30,3,5.975414880862856,20.736495960596653,16.74075698852539
1,ws30_fh7_var1,TCN,7,30,1,5.205706471017831,17.405510275728247,17.121833086013794
1,ws30_fh7_var3,TCN,7,30,3,6.192618969013305,20.946684416212964,16.375516176223755
2,ws7_fh1_var1,TCN,1,7,1,4.453156026907731,15.507904813597994,11.720147371292114
2,ws7_fh1_var3,TCN,1,7,3,4.462080316821724,15.47937417969973,12.070879936218262
2,ws7_fh3_var1,TCN,3,7,1,2.956772150949613,9.132313145824595,15.92811131477356
2,ws7_fh3_var3,TCN,3,7,3,6.130984947344423,19.94838080969815,15.98044466972351
2,ws7_fh7_var1,TCN,7,7,1,5.206189637733905,17.3618933097241,15.97715139389038
2,ws7_fh7_var3,TCN,7,7,3,10.241894573882906,35.87623177959082,15.944704055786133
